Area in Hectares,Crop,Crop_Year,Price per quintal,Production in quintals,Revenue per hectare
40795160.29,Rice,2002,550.0,71453399.67,963.33
43181631.06,Rice,2003,555.0,87835972.97,1128.93
42664665.23,Rice,2004,560.0,84172521.28,1104.82
43519563.58,Rice,2005,570.0,89587185.75,1173.37
43266797.59,Rice,2006,580.0,91676287.34,1228.94
42026154.31,Rice,2007,645.0,92064810.0,1412.97
43597987.0,Rice,2008,850.0,95261272.07,1857.24
40583697.0,Rice,2009,950.0,87356341.31,2044.87
41766900.5,Rice,2010,1000.0,95176207.1,2278.75
42011893.74,Rice,2011,1080.0,102093897.48,2624.53
47765615.0,Rice,2012,1250.0,100330481.0,2625.59
25196951.69,Wheat,2002,630.0,65760625.34,1644.21
26824291.7,Wheat,2003,635.0,72780554.81,1722.9
26786879.58,Wheat,2004,640.0,69567075.35,1662.12
26208838.23,Wheat,2005,650.0,67305067.7,1669.22
27915096.04,Wheat,2006,750.0,77294678.3,2076.69
27025547.72,Wheat,2007,1000.0,77599127.9,2871.32
27772106.0,Wheat,2008,1080.0,81590346.0,3172.88
27774123.0,Wheat,2009,1100.0,80194411.4,3176.12
29837101.0,Wheat,2010,1120.0,93043112.0,3492.57
26471124.0,Wheat,2011,1285.0,91784119.7,4455.52
26406568.0,Wheat,2012,1350.0,88022121.4,4500.01
9274286.0,Jowar,2002,490.0,6997729.0,369.72
9299671.0,Jowar,2003,502.5,6646221.0,359.12
8995096.0,Jowar,2004,515.0,7055559.0,403.95
3905712.0,Jowar,2005,525.0,3502688.7,470.83
8430341.0,Jowar,2006,540.0,6960926.0,445.88
3643847.0,Jowar,2007,600.0,3792098.0,624.41
7273391.0,Jowar,2008,840.0,6600143.0,762.25
7787823.0,Jowar,2009,840.0,6567114.0,708.33
7110272.0,Jowar,2010,880.0,6602545.0,817.16
5574474.0,Jowar,2011,980.0,5316754.0,934.69
5340605.0,Jowar,2012,1500.0,4818909.0,1353.47
7736866.0,Bajra,2002,495.0,4713967.3,301.6
10663550.0,Bajra,2003,505.0,12060751.0,571.17
9326100.0,Bajra,2004,515.0,8051663.0,444.62
9676568.0,Bajra,2005,525.0,7118575.8,386.22
9499237.0,Bajra,2006,540.0,8334550.0,473.79
8339105.0,Bajra,2007,600.0,8857533.2,637.3
8774882.0,Bajra,2008,840.0,8900867.0,852.06
8972422.0,Bajra,2009,840.0,6517369.0,610.16
9607246.0,Bajra,2010,880.0,12269842.0,1123.89
3752948.0,Bajra,2011,980.0,6073769.0,1586.03
3231616.0,Bajra,2012,1175.0,4877053.0,1773.27
1393075.73,Ragi,2002,490.0,1305944.8,459.35
1676354.3,Ragi,2003,502.5,1889760.93,566.47
1505366.16,Ragi,2004,515.0,2289561.27,783.28
1512249.26,Ragi,2005,525.0,2279824.68,791.48
1194891.89,Ragi,2006,540.0,1295834.2,585.62
1264903.12,Ragi,2007,600.0,1908140.1,905.12
1350789.0,Ragi,2008,915.0,1846441.2,1250.75
1235229.0,Ragi,2009,915.0,1737764.9,1287.26
1264421.0,Ragi,2010,965.0,2087127.8,1592.89
1147450.0,Ragi,2011,1050.0,1781575.1,1630.27
1094336.0,Ragi,2012,1500.0,1536329.4,2105.84
6564168.33,Maize,2002,490.0,11021981.25,822.77
7127699.91,Maize,2003,507.5,14638847.57,1042.3
7258644.15,Maize,2004,525.0,13823196.47,999.8
6982198.36,Maize,2005,540.0,13775161.56,1065.36
7356970.78,Maize,2006,540.0,14245663.5,1045.63
7266855.31,Maize,2007,620.0,17585721.6,1500.39
7433947.0,Maize,2008,840.0,18331296.8,2071.35
7371903.0,Maize,2009,840.0,15260108.0,1738.83
8056623.54,Maize,2010,880.0,22062416.22,2409.81
6888187.0,Maize,2011,980.0,19307949.4,2746.99
6188793.0,Maize,2012,1175.0,17253317.5,3275.7
664523.0,Barley,2002,505.0,1378805.1,1047.81
653910.82,Barley,2003,522.5,1305483.28,1043.13
602355.57,Barley,2004,540.0,1172234.24,1050.89
614672.0,Barley,2005,550.0,1182183.7,1057.8
556516.0,Barley,2006,565.0,1245089.0,1264.07
604089.0,Barley,2007,650.0,1196276.0,1287.19
685198.0,Barley,2008,680.0,1669726.2,1657.06
565424.0,Barley,2009,750.0,1307238.0,1733.97
677806.0,Barley,2010,780.0,1690447.0,1945.32
325548.0,Barley,2011,980.0,777914.0,2341.76
347179.0,Barley,2012,980.0,817666.0,2308.07
5892949.47,Gram,2002,1225.0,4227669.42,878.83
7067229.21,Gram,2003,1325.0,5738794.98,1075.94
6636121.22,Gram,2004,1425.0,5376640.0,1154.55
6819569.26,Gram,2005,1435.0,5571145.67,1172.3
7625707.57,Gram,2006,1445.0,6392945.0,1211.4
6348748.22,Gram,2007,1600.0,4773122.0,1202.91
7818443.0,Gram,2008,1730.0,6998378.2,1548.54
7274008.0,Gram,2009,1760.0,6876010.0,1663.7
8862826.0,Gram,2010,2100.0,7674255.16,1818.37
6335184.0,Gram,2011,2800.0,5999415.0,2651.6
6544957.0,Gram,2012,3000.0,6702250.0,3072.1
2963889.15,Arhar/Tur,2002,1325.0,1795828.47,802.82
3439893.06,Arhar/Tur,2003,1357.5,2325382.12,917.68
2912104.08,Arhar/Tur,2004,1390.0,1844665.11,880.49
2875328.46,Arhar/Tur,2005,1400.0,2086762.83,1016.05
3297134.83,Arhar/Tur,2006,1410.0,2141779.0,915.92
2287957.63,Arhar/Tur,2007,1550.0,1760907.0,1192.94
3113224.0,Arhar/Tur,2008,2000.0,2060437.1,1323.67
3221594.0,Arhar/Tur,2009,2300.0,2226782.0,1589.77
4289565.0,Arhar/Tur,2010,3000.0,2714289.6,1898.3
3752892.0,Arhar/Tur,2011,3200.0,2448644.0,2087.9
3220916.0,Arhar/Tur,2012,3850.0,2625573.0,3138.38
2942257.0,Moong(Green Gram),2002,1335.0,865919.7,392.9
3442463.0,Moong(Green Gram),2003,1372.5,1661228.8,662.33
3187041.0,Moong(Green Gram),2004,1410.0,998654.2,441.82
3039036.0,Moong(Green Gram),2005,1520.0,947198.1,473.75
3062127.0,Moong(Green Gram),2006,1520.0,1057304.9,524.83
2967021.0,Moong(Green Gram),2007,1700.0,1120509.2,642.01
2738113.0,Moong(Green Gram),2008,2520.0,997332.1,917.89
3002613.0,Moong(Green Gram),2009,2760.0,640078.8,588.36
3506873.0,Moong(Green Gram),2010,3170.0,1792063.7,1619.92
2097197.0,Moong(Green Gram),2011,3500.0,1005520.4,1678.11
1630416.0,Moong(Green Gram),2012,4400.0,735726.7,1985.5
2944890.0,Urad,2002,1335.0,1276617.9,578.73
3379954.0,Urad,2003,1372.5,1428295.9,579.99
2512359.0,Urad,2004,1410.0,1033246.1,579.88
2343892.0,Urad,2005,1520.0,979827.8,635.41
2456072.0,Urad,2006,1520.0,1122130.2,694.46
2626497.0,Urad,2007,1700.0,1114032.0,721.06
2601605.0,Urad,2008,2520.0,1137905.6,1102.21
2875625.0,Urad,2009,2520.0,1181134.9,1035.07
3125827.0,Urad,2010,2900.0,1678594.8,1557.32
2952470.0,Urad,2011,3300.0,1601944.4,1790.51
2717142.0,Urad,2012,4300.0,1555020.6,2460.89
4501972.0,Sugarcane,2002,69.5,287091582.2,4432.03
4001206.45,Sugarcane,2003,72.0,239790348.48,4314.92
3507513.23,Sugarcane,2004,74.5,229908510.87,4883.28
4218182.7,Sugarcane,2005,79.5,285760866.48,5385.73
3808609.89,Sugarcane,2006,80.25,268741560.6,5662.57
3857623.83,Sugarcane,2007,81.18,254059919.7,5346.45
5082080.0,Sugarcane,2008,81.18,341180542.7,5449.94
4091094.0,Sugarcane,2009,129.84,287925668.1,9137.96
4795159.14,Sugarcane,2010,139.12,336530841.89,9763.63
4696892.41,Sugarcane,2011,145.0,345395473.3,10662.87
4927290.0,Sugarcane,2012,170.0,335499448.9,11575.31
7632933.0,Cotton(lint),2002,1895.0,8561894.2,2125.63
7550673.0,Cotton(lint),2003,1927.5,13623687.0,3477.79
8748496.0,Cotton(lint),2004,1960.0,16974350.0,3802.91
8669295.0,Cotton(lint),2005,1980.0,18388534.5,4199.8
9060875.0,Cotton(lint),2006,1990.0,20890976.0,4588.19
6188044.0,Cotton(lint),2007,2030.0,17294926.0,5673.63
9337428.0,Cotton(lint),2008,3000.0,20777198.0,6675.46
9984615.0,Cotton(lint),2009,3000.0,20898065.0,6279.08
10929723.0,Cotton(lint),2010,3000.0,27317346.0,7498.09
11685196.0,Cotton(lint),2011,3300.0,27366253.0,7728.47
9530632.0,Cotton(lint),2012,3900.0,19767509.0,8089.0
5927555.0,Groundnut,2002,1375.0,4113401.7,954.18
5967650.0,Groundnut,2003,1437.5,8108946.4,1953.3
6612902.0,Groundnut,2004,1500.0,6605247.0,1498.26
6634687.0,Groundnut,2005,1520.0,7826232.4,1792.98
5696732.0,Groundnut,2006,1520.0,5230123.2,1395.5
5880765.0,Groundnut,2007,1550.0,8667517.6,2284.51
6085076.0,Groundnut,2008,2100.0,6378706.6,2201.33
5432693.0,Groundnut,2009,2100.0,5310310.1,2052.69
5861460.25,Groundnut,2010,2300.0,8190107.9,3213.75
4877280.0,Groundnut,2011,2700.0,6205979.3,3435.55
4171486.0,Groundnut,2012,3700.0,3799964.4,3370.47
862961.0,Jute,2002,850.0,10262222.0,10108.09
847669.0,Jute,2003,870.0,10244196.0,10514.07
771105.0,Jute,2004,890.0,9384546.0,10831.53
756270.0,Jute,2005,910.0,9973409.0,12000.74
802194.0,Jute,2006,1000.0,10433130.0,13005.74
813994.0,Jute,2007,1055.0,10207097.0,13229.2
785628.0,Jute,2008,1250.0,9637506.0,15334.08
813555.0,Jute,2009,1375.0,11256439.0,19024.66
769518.0,Jute,2010,1575.0,10007968.0,20483.67
806039.0,Jute,2011,1675.0,10734936.0,22307.88
776843.0,Jute,2012,2200.0,9132348.1,25862.58
4232075.34,Rapeseed &Mustard,2002,1340.0,3595695.78,1138.5
5068743.0,Rapeseed &Mustard,2003,1520.0,5963477.47,1788.31
7048705.26,Rapeseed &Mustard,2004,1700.0,7247026.29,1747.83
7024254.03,Rapeseed &Mustard,2005,1715.0,7896943.09,1928.07
6471393.5,Rapeseed &Mustard,2006,1715.0,7082258.1,1876.89
5511552.9,Rapeseed &Mustard,2007,1800.0,5535567.91,1807.84
5910636.0,Rapeseed &Mustard,2008,1830.0,6913622.7,2140.54
4755605.0,Rapeseed &Mustard,2009,1830.0,5545123.4,2133.81
5482169.0,Rapeseed &Mustard,2010,1850.0,7525819.68,2539.65
2970870.0,Rapeseed &Mustard,2011,2500.0,3369974.2,2835.85
3114681.0,Rapeseed &Mustard,2012,3000.0,4029443.7,3881.08
1626833.0,Sunflower,2002,1210.0,845701.04,629.01
1993856.0,Sunflower,2003,1275.0,919793.0,588.17
2479664.0,Sunflower,2004,1340.0,1297053.0,700.92
2314821.0,Sunflower,2005,1500.0,1289496.0,835.59
2128743.0,Sunflower,2006,1500.0,1045041.0,736.38
1567176.0,Sunflower,2007,1510.0,1094524.0,1054.59
1756123.0,Sunflower,2008,2215.0,997119.0,1257.67
1422592.0,Sunflower,2009,2215.0,718657.0,1118.96
889231.9,Sunflower,2010,2350.0,560993.4,1482.55
690076.0,Sunflower,2011,2800.0,419646.0,1702.72
762951.0,Sunflower,2012,3700.0,453931.0,2201.38
6068435.0,Soyabean,2002,895.0,4583853.0,676.05
6516934.0,Soyabean,2003,947.5,7788019.0,1132.3
7632991.0,Soyabean,2004,1000.0,6854980.0,898.07
7994672.0,Soyabean,2005,1010.0,8552840.0,1080.52
8199577.0,Soyabean,2006,1020.0,8817146.0,1096.82
6242549.0,Soyabean,2007,1050.0,6697563.0,1126.53
9581407.0,Soyabean,2008,1390.0,8991049.0,1304.36
9705469.0,Soyabean,2009,1390.0,9869843.0,1413.54
9558319.0,Soyabean,2010,1440.0,12314985.0,1855.3
9306315.0,Soyabean,2011,1690.0,11051455.0,2006.91
9608817.0,Soyabean,2012,2240.0,13516397.0,3150.93
369442.0,Safflower,2002,1305.0,179245.04,633.16
365297.0,Safflower,2003,1427.5,136466.0,533.28
369964.0,Safflower,2004,1550.0,179481.0,751.95
363053.0,Safflower,2005,1565.0,229054.0,987.38
375524.0,Safflower,2006,1565.0,238102.0,992.29
74452.0,Safflower,2007,1650.0,61965.0,1373.26
273426.0,Safflower,2008,1650.0,172045.0,1038.21
272143.0,Safflower,2009,1680.0,167823.0,1036.01
242802.0,Safflower,2010,1800.0,152385.0,1129.7
197406.0,Safflower,2011,2500.0,113411.0,1436.27
154980.0,Safflower,2012,2800.0,89059.0,1609.02
1357650.0,Sesamum,2002,1455.0,421776.9,452.02
1655445.0,Sesamum,2003,1477.5,765167.1,682.92
1865119.0,Sesamum,2004,1500.0,668908.3,537.96
1746113.0,Sesamum,2005,1550.0,656594.2,582.85
1665030.0,Sesamum,2006,1560.0,664575.9,622.65
1674171.0,Sesamum,2007,1580.0,741282.7,699.59
1753051.0,Sesamum,2008,2750.0,630750.7,989.45
2042179.0,Sesamum,2009,2850.0,633869.7,884.61
2091602.81,Sesamum,2010,2900.0,894312.3,1239.96
1400125.56,Sesamum,2011,3400.0,639724.05,1553.48
1155228.0,Sesamum,2012,4200.0,694185.5,2523.81
407384.0,Niger seed,2002,1120.0,84585.04,232.55
423280.0,Niger seed,2003,1150.0,107890.0,293.12
414672.0,Niger seed,2004,1180.0,108129.0,307.69
294986.0,Niger seed,2005,1200.0,70171.0,285.45
291627.0,Niger seed,2006,1220.0,68207.0,285.34
217116.0,Niger seed,2007,1240.0,54901.0,313.55
259498.0,Niger seed,2008,2405.0,67192.0,622.73
242010.0,Niger seed,2009,2405.0,57231.0,568.74
240962.0,Niger seed,2010,2450.0,57060.0,580.16
262029.0,Niger seed,2011,2900.0,58165.9,643.75
215159.0,Niger seed,2012,3500.0,63848.0,1038.62

